symbol,frequency,source,status,bars,start,end,timezone,columns,duplicate_timestamps,missing_close,max_gap_hours,caveats
EURUSD,D1,Dukascopy BID via dukascopy-python,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
GBPUSD,D1,Dukascopy BID via dukascopy-python,ok,2606,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
USDJPY,D1,Dukascopy BID via dukascopy-python,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
USDCHF,D1,Dukascopy BID via dukascopy-python,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
USDCAD,D1,Dukascopy BID via dukascopy-python,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
AUDUSD,D1,Dukascopy BID via dukascopy-python,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
NZDUSD,D1,Dukascopy BID via dukascopy-python,ok,2605,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
XAUUSD,D1,Dukascopy BID via dukascopy-python,ok,2593,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
BTCUSD,D1,Dukascopy BID via dukascopy-python,ok,2987,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
ETHUSD,D1,Dukascopy BID via dukascopy-python,ok,2982,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
